 NUM  NOME CLASSE  TIPO COMB.  CUSTO   CUSTO   CUSTO   CUSTO   CUSTO   
 XXXX XXXXXXXXXXXX XXXXXXXXXX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX
    1 ANGRA 1      Nuclear      31.17   31.17   31.17   31.17   31.17                                                                                                                                                     
   13 ANGRA 2      Nuclear      20.12   20.12   20.12   20.12   20.12                                                                                                                                                     
  211 BAIXADA FLU  Gas          88.32   88.32   88.32   88.32   88.32                                                                                                                                                     
    7 CARIOBA      Oleo        937.00  937.00  937.00  937.00  937.00                                                                                                                                                     
   97 CCBS         Gas         311.01  311.01  311.01  311.01  311.01                                                                                                                                                     
  219 CCBS_L1      Gas         311.01  311.01  311.01  311.01  311.01                                                                                                                                                     
  220 CCBS_L13     Gas         300.71  300.71  300.71  300.71  300.71                                                                                                                                                     
   12 CUIABA G CC  Gas         511.77  511.77  511.77  511.77  511.77                                                                                                                                                     
  153 DAIA         Diesel      883.84  883.84  883.84  883.84  883.84                                                                                                                                                     
   65 DO ATLAN_CSA Residuos I    0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  183 DO ATLANTICO Residuos I  179.56  179.56  179.56  179.56  179.56                                                                                                                                                     
  213 EBOLT_L1     Gas         283.22  283.22  283.22  283.22  283.22                                                                                                                                                     
  214 EBOLT_L13    Gas         306.66  306.66  306.66  306.66  306.66                                                                                                                                                     
   62 ELETROBOLT   Gas         283.22  283.22  283.22  283.22  283.22                                                                                                                                                     
  110 F.GASPARIAN  Gas         548.04  548.04  548.04  548.04  548.04                                                                                                                                                     
  155 GOIANIA II   Diesel      921.14  921.14  921.14  921.14  921.14                                                                                                                                                     
   63 IBIRITERMO   Gas         346.37  346.37  346.37  346.37  346.37                                                                                                                                                     
    2 IGARAPE      Oleo        689.98  689.98  689.98  689.98  689.98                                                                                                                                                     
   54 JUIZ DE FORA Gas         283.74  283.74  283.74  283.74  283.74                                                                                                                                                     
   15 LINHARES     GNL         212.82  212.82  212.82  212.82  212.82                                                                                                                                                     
  171 NORTEFLU-1   Gas          67.70   67.70   67.70   67.70   67.70                                                                                                                                                     
  172 NORTEFLU-2   Gas          78.72   78.72   78.72   78.72   78.72                                                                                                                                                     
  173 NORTEFLU-3   Gas         150.18  150.18  150.18  150.18  150.18                                                                                                                                                     
  174 NORTEFLU-4   Gas         452.02  452.02  452.02  452.02  452.02                                                                                                                                                     
  137 NOVO TEMPO   Gas         236.29  236.29  236.29  236.29  236.29                                                                                                                                                     
  229 ONCA PINTADA Biomassa     90.94   90.94   90.94   90.94   90.94                                                                                                                                                     
  182 PALMEIRAS GO Diesel      662.70  662.70  662.70  662.70  662.70                                                                                                                                                     
   50 PIRAT.12 G   Gas         470.34  470.34  470.34  470.34  470.34                                                                                                                                                     
  230 PREDILECTA   Biomassa    128.15  128.15  128.15  128.15  128.15                                                                                                                                                     
    9 R.SILVEIRA   Gas         773.24  773.24  773.24  773.24  773.24                                                                                                                                                     
    4 ST.CRUZ 34   Oleo        310.41  310.41  310.41  310.41  310.41                                                                                                                                                     
   86 ST.CRUZ NOVA GNL         141.66  141.66  141.66  141.66  141.66                                                                                                                                                     
  146 STA VITORIA  Biomassa     90.00   90.00   90.00   90.00   90.00                                                                                                                                                     
  217 T LAGOAS_L1  Gas         187.43  187.43  187.43  187.43  187.43                                                                                                                                                     
  218 T LAGOAS_L13 Gas         302.22  302.22  302.22  302.22  302.22                                                                                                                                                     
  194 T.NORTE 2    Oleo        910.86  910.86  910.86  910.86  910.86                                                                                                                                                     
  223 TERMOIRAPE I Biomassa    126.59  126.59  126.59  126.59  126.59                                                                                                                                                     
   90 TERMOMACAE   Gas         513.22  513.22  513.22  513.22  513.22                                                                                                                                                     
   47 TERMORIO     Gas         223.14  223.14  223.14  223.14  223.14                                                                                                                                                     
  215 TERMORIO_L1  Gas         223.14  223.14  223.14  223.14  223.14                                                                                                                                                     
  216 TERMORIO_L13 Gas         305.16  305.16  305.16  305.16  305.16                                                                                                                                                     
   68 TRES LAGOAS  Gas         187.43  187.43  187.43  187.43  187.43                                                                                                                                                     
  236 VALE AZUL II Gas          85.01   85.01   85.01   85.01   85.01                                                                                                                                                     
   49 VIANA        Oleo        565.37  565.37  565.37  565.37  565.37                                                                                                                                                     
  108 XAVANTES     Diesel     1269.04 1269.04 1269.04 1269.04 1269.04                                                                                                                                                     
   48 ARAUCARIA    Gas         710.65  710.65  710.65  710.65  710.65                                                                                                                                                     
   37 ARGENTINA 1  CONTRATO     43.02   43.02   43.02   43.02   43.02                                                                                                                                                     
   71 ARGENTINA 1B CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
   38 ARGENTINA 2A CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
   39 ARGENTINA 2B CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
   40 ARGENTINA 2C CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
   59 ARGENTINA 2D CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
  237 CAMBARA      Biomassa    162.00  162.00  162.00  162.00  162.00                                                                                                                                                     
  156 CANDIOTA 3   Carvao       80.59   80.59   80.59   80.59   80.59                                                                                                                                                     
   64 CANOAS       Diesel      698.14  698.14  698.14  698.14  698.14                                                                                                                                                     
  169 CISFRAMA     Biomassa    287.31  287.31  287.31  287.31  287.31                                                                                                                                                     
   28 FIGUEIRA     Carvao      486.49  486.49  486.49  486.49  486.49                                                                                                                                                     
   26 J.LACERDA A1 Carvao      238.56  238.56  238.56  238.56  238.56                                                                                                                                                     
   27 J.LACERDA A2 Carvao      217.89  217.89  217.89  217.89  217.89                                                                                                                                                     
   25 J.LACERDA B  Carvao      209.48  209.48  209.48  209.48  209.48                                                                                                                                                     
   24 J.LACERDA C  Carvao      178.91  178.91  178.91  178.91  178.91                                                                                                                                                     
   30 NUTEPA       Oleo        780.00  780.00  780.00  780.00  780.00                                                                                                                                                     
   22 P.MEDICI A   Carvao      115.90  115.90  115.90  115.90  115.90                                                                                                                                                     
   23 P.MEDICI B   Carvao      115.90  115.90  115.90  115.90  115.90                                                                                                                                                     
  107 PAMPA SUL    Carvao       52.50   52.50   52.50   52.50   52.50                                                                                                                                                     
   32 S.JERONIMO   Carvao      248.31  248.31  248.31  248.31  248.31                                                                                                                                                     
  149 SAO SEPE     Biomassa     71.72   71.72   71.72   71.72   71.72                                                                                                                                                     
   35 URUGUAIANA   Gas         486.20  486.20  486.20  486.20  486.20                                                                                                                                                     
  109 ALTOS        Diesel      763.59  763.59  763.59  763.59  763.59                                                                                                                                                     
  111 ARACATI      Diesel      763.59  763.59  763.59  763.59  763.59                                                                                                                                                     
  112 BAHIA I      Oleo        612.88  612.88  612.88  612.88  612.88                                                                                                                                                     
  113 BATURITE     Diesel      763.59  763.59  763.59  763.59  763.59                                                                                                                                                     
   93 CAMACARI D/G Diesel      943.88  943.88  943.88  943.88  943.88                                                                                                                                                     
  235 CAMACARI MII Diesel     1177.45 1177.45 1177.45 1177.45 1177.45                                                                                                                                                     
  166 CAMACARI PI  Oleo        677.93  677.93  677.93  677.93  677.93                                                                                                                                                     
   52 CAMPINA GDE  Oleo        565.38  565.38  565.38  565.38  565.38                                                                                                                                                     
  117 CAMPO MAIOR  Diesel      763.59  763.59  763.59  763.59  763.59                                                                                                                                                     
  119 CAUCAIA      Diesel      763.59  763.59  763.59  763.59  763.59                                                                                                                                                     
  121 CRATO        Diesel      763.59  763.59  763.59  763.59  763.59                                                                                                                                                     
  125 ENGUIA PECEM Diesel      763.59  763.59  763.59  763.59  763.59                                                                                                                                                     
  106 ERB CANDEIAS Biomassa     60.00   60.00   60.00   60.00   60.00                                                                                                                                                     
   74 FAFEN        Gas         345.02  345.02  345.02  345.02  345.02                                                                                                                                                     
   42 FORTALEZA    Gas         139.88  139.88  139.88  139.88  139.88                                                                                                                                                     
   53 GLOBAL I     Oleo        641.69  641.69  641.69  641.69  641.69                                                                                                                                                     
   55 GLOBAL II    Oleo        641.69  641.69  641.69  641.69  641.69                                                                                                                                                     
  127 IGUATU       Diesel      763.59  763.59  763.59  763.59  763.59                                                                                                                                                     
  133 JUAZEIRO N   Diesel      763.59  763.59  763.59  763.59  763.59                                                                                                                                                     
   57 MARACANAU I  Oleo        545.57  545.57  545.57  545.57  545.57                                                                                                                                                     
  135 MARAMBAIA    Diesel      763.59  763.59  763.59  763.59  763.59                                                                                                                                                     
  164 MURICY       Oleo        677.93  677.93  677.93  677.93  677.93                                                                                                                                                     
  138 NAZARIA      Diesel      763.59  763.59  763.59  763.59  763.59                                                                                                                                                     
  167 P. PECEM I   Carvao      196.32  196.32  196.32  196.32  196.32                                                                                                                                                     
  163 P. PECEM II  Carvao      203.87  203.87  203.87  203.87  203.87                                                                                                                                                     
  224 P. SERGIPE I Gas         204.30  204.30  204.30  204.30  204.30                                                                                                                                                     
  160 PAU FERRO I  Diesel      965.77  965.77  965.77  965.77  965.77                                                                                                                                                     
  162 PECEM II     Diesel     1189.52 1189.52 1189.52 1189.52 1189.52                                                                                                                                                     
   98 PERNAMBU_III Oleo        480.38  480.38  480.38  480.38  480.38                                                                                                                                                     
  144 PETROLINA    Oleo        743.79  743.79  743.79  743.79  743.79                                                                                                                                                     
  151 POTIGUAR     Diesel      847.00  847.00  847.00  847.00  847.00                                                                                                                                                     
  161 POTIGUAR III Diesel      846.99  846.99  846.99  846.99  846.99                                                                                                                                                     
  147 PROSPERIDADE Gas         148.65  148.65  148.65  148.65  148.65                                                                                                                                                     
  170 SUAPE II     Oleo        567.55  567.55  567.55  567.55  567.55                                                                                                                                                     
  221 SYKUE I      Biomassa    510.12  510.12  510.12  510.12  510.12                                                                                                                                                     
   43 TERMOBAHIA   Gas         374.87  374.87  374.87  374.87  374.87                                                                                                                                                     
  152 TERMOCABO    Oleo        558.62  558.62  558.62  558.62  558.62                                                                                                                                                     
   58 TERMOCEARA   Gas         321.77  321.77  321.77  321.77  321.77                                                                                                                                                     
  159 TERMOMANAUS  Diesel      965.77  965.77  965.77  965.77  965.77                                                                                                                                                     
   67 TERMONE      Oleo        563.68  563.68  563.68  563.68  563.68                                                                                                                                                     
   69 TERMOPB      Oleo        563.68  563.68  563.68  563.68  563.68                                                                                                                                                     
   96 TERMOPE      Gas         123.12  123.12  123.12  123.12  123.12                                                                                                                                                     
   83 VALE DO ACU  Gas         450.86  450.86  450.86  450.86  450.86                                                                                                                                                     
  201 APARECIDA    Gas         302.19  302.19  302.19  302.19  302.19                                                                                                                                                     
  203 C. ROCHA     Gas           0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  318 FLORES LT1   Diesel      868.35  868.35  868.35  868.35  868.35                                                                                                                                                     
  319 FLORES LT2   Diesel      883.17  883.17  883.17  883.17  883.17                                                                                                                                                     
   73 GERAMAR I    Oleo        565.36  565.36  565.36  565.36  565.36                                                                                                                                                     
   70 GERAMAR II   Oleo        565.36  565.36  565.36  565.36  565.36                                                                                                                                                     
  317 IRANDUBA     Oleo        856.49  856.49  856.49  856.49  856.49                                                                                                                                                     
  204 JARAQUI      Gas           0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  205 MANAUARA     Gas           0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
