 NUM  NOME         POSTO JUS   REE V.INIC U.EXIS MODIF INIC.HIST FIM HIST
 XXXX XXXXXXXXXXXX XXXX  XXXX XXXX XXX.XX XXXX   XXXX     XXXX     XXXX
    4 FUNIL-GRANDE  211     6   10   0.00   EX      1     1931     2016
   20 BATALHA        22    21   10  69.80   EX      1     1931     2016
   21 SERRA FACAO   251    24   10  50.00   EX      0     1931     2016
   27 CAPIM BRANC1  207    28   10  42.93   EX      1     1931     2016
   28 CAPIM BRANC2   28    31   10   0.00   EX      1     1931     2016
   29 CORUMBA IV    205   203   10  68.31   EX      0     1931     2016
   48 PIRAJU         48    49   12   0.00   EX      0     1931     2016
   66 ITAIPU         66     0    5   0.00   EX      0     1931     2016
  131 NILO PECANHA  131   133    1   0.00   EX      0     1931     2016
  132 FONTES        303   133    1   0.00   EX      1     1931     2016
  141 BAGUARI       141   143    1   0.00   EX      0     1931     2016
  155 RETIRO BAIXO  155   156    1   0.00   EX      1     1931     2016
  156 TRES MARIAS   156     0    1  43.31   EX      1     1931     2016
  162 QUEIMADO      158     0    1  76.33   EX      1     1931     2016
  195 JAURU         295     0    1   0.00   EX      0     1931     2016
  196 GUAPORE       296   285    6   0.00   EX      0     1931     2016
  203 CORUMBA III    23    30   10  72.99   EX      0     1931     2016
  227 SINOP         227   228    7   0.00   NE      1     1931     2016
  228 COLIDER       228   229    7   0.00   EE      1     1931     2016
  229 TELES PIRES   229   230    7   0.00   EX      1     1931     2016
  230 SAO MANOEL    230     0    7   0.00   EX      0     1931     2016
  241 SLT VERDINHO  241    34   10   0.00   EX      0     1931     2016
  249 OURINHOS      249    50   12   0.00   EX      0     1931     2016
  251 SERRA MESA    270   252    1  20.62   EX      1     1931     2016
  252 CANA BRAVA    191   253    1   0.00   EX      1     1931     2016
  253 SAO SALVADOR  253   257    1   0.00   EX      1     1931     2016
  257 PEIXE ANGIC   257   261    1  61.10   EX      1     1931     2016
  261 LAJEADO       273     0    1   0.00   EX      1     1931     2016
  262 SALTO         294   241   10   0.00   EX      0     1931     2016
  276 RONDON II     145     0    6  75.10   EX      0     1931     2016
  281 PONTE PEDRA   281     0    1   0.00   EX      1     1931     2016
  285 JIRAU         285   287    6   0.00   EX      1     1931     2016
  287 STO ANTONIO   287     0    6   0.00   EX      1     1931     2016
  290 ESPORA         99    34   10  70.00   EX      0     1931     2016
  304 ITIQUIRA I    259   305    1   0.00   EX      0     1931     2016
  305 ITIQUIRA II   252     0    1   0.00   EX      1     1931     2016
  310 DARDANELOS    291     0    6   0.00   EX      0     1931     2016
  311 CACU          247   312   10  25.00   EX      0     1931     2016
  312 B. COQUEIROS  248   315   10   0.00   EX      0     1931     2016
  315 FOZ R. CLARO  261    34   10   0.00   EX      0     1931     2016
  318 FICT.STA BRA   54   319   12   0.00   NE      0     1931     2016
  319 FICT.MAUA      57    61   12  31.90   EX      1     1931     2016
  117 GUARAPIRANGA  117   118    1  67.20   EX      1     1931     2016
  118 BILLINGS      319   119    1  83.50   EX      1     1931     2016
  119 HENRY BORDEN  318     0    1   0.00   EX      1     1931     2016
  120 JAGUARI       120   123    1  37.19   EX      1     1931     2016
  121 PARAIBUNA     121   122    1  37.57   EX      1     1931     2016
  122 SANTA BRANCA  122   123    1  68.27   EX      1     1931     2016
  123 FUNIL         123   131    1  41.21   EX      1     1931     2016
  124 LAJES         132   132    1  93.64   EX      1     1931     2016
  126 PICADA        197   127    1   0.00   EX      0     1931     2016
  127 SOBRAGI       198   129    1   0.00   EX      0     1931     2016
  129 SIMPLICIO     126   130    1   0.00   EX      0     1931     2016
  130 ILHA POMBOS   299     0    1   0.00   EX      0     1931     2016
  133 P. PASSOS     306     0    1   0.00   EX      1     1931     2016
  134 SALTO GRANDE  134   135    1   0.00   EX      1     1931     2016
  135 P. ESTRELA    263   141    1  95.00   EX      1     1931     2016
  139 CANDONGA      149   141    1   0.00   EX      1     1931     2016
  143 AIMORES       148   144    1   0.00   EX      0     1931     2016
  144 MASCARENHAS   144     0    1   0.00   EX      1     1931     2016
  192 GUILMAN-AMOR  262   193    1   0.00   EX      1     1931     2016
  193 SA CARVALHO   183   141    1   0.00   EX      0     1931     2016
  217 ROSAL         196     0    1   0.00   EX      0     1931     2016
  279 SAMUEL        279     0    6  78.08   EX      0     1931     2016
  148 IRAPE         255     0    1  35.74   EX      1     1931     2016
  283 STA CLARA MG  283     0    1   0.00   EX      1     1931     2016
    1 CAMARGOS        1     2   10  75.68   EX      1     1931     2016
    2 ITUTINGA        2     4   10   0.00   EX      1     1931     2016
    6 FURNAS          6     7   10  28.61   EX      1     1931     2016
    7 M. DE MORAES    7     8   10  15.34   EX      1     1931     2016
    8 ESTREITO        8     9   10   0.00   EX      1     1931     2016
    9 JAGUARA         9    10   10   0.00   EX      1     1931     2016
   10 IGARAPAVA      10    11   10   0.00   EX      1     1931     2016
   11 VOLTA GRANDE   11    12   10   0.00   EX      1     1931     2016
   12 P. COLOMBIA    12    17   10   0.00   EX      1     1931     2016
   14 CACONDE        14    15   10  25.20   EX      1     1931     2016
   15 E. DA CUNHA    15    16   10   0.00   EX      0     1931     2016
   16 A.S.OLIVEIRA   16    17   10   0.00   EX      1     1931     2016
   17 MARIMBONDO     17    18   10  32.11   EX      1     1931     2016
   18 A. VERMELHA    18    34   10  38.30   EX      1     1931     2016
   34 I. SOLTEIRA    34    45   10  93.74   EX      1     1931     2016
   24 EMBORCACAO     24    31   10  22.32   EX      1     1931     2016
   25 NOVA PONTE     25    26   10  21.05   EX      1     1931     2016
   26 MIRANDA       206    27   10  50.22   EX      1     1931     2016
   30 CORUMBA I     209    31   10  67.21   EX      1     1931     2016
   31 ITUMBIARA      31    32   10  43.02   EX      1     1931     2016
   32 CACH.DOURADA   32    33   10   0.00   EX      1     1931     2016
   33 SAO SIMAO      33    34   10  63.63   EX      1     1931     2016
   37 BARRA BONITA   37    38   10  78.10   EX      1     1931     2016
   38 A.S. LIMA      38    39   10   0.00   EX      0     1931     2016
   39 IBITINGA       39    40   10   0.00   EX      0     1931     2016
   40 PROMISSAO      40    42   10  53.10   EX      1     1931     2016
   42 NAVANHANDAVA   42    43   10   0.00   EX      0     1931     2016
   43 TRES IRMAOS    43    45   10  91.68   EX      1     1931     2016
   45 JUPIA          45    46   10   0.00   EX      1     1931     2016
   46 P. PRIMAVERA   46    66   10   0.00   EX      1     1931     2016
  278 MANSO         278     0    1  68.26   EX      1     1931     2016
   47 A.A. LAYDNER   47    48   12  50.31   EX      1     1931     2016
   49 CHAVANTES      49   249   12  61.18   EX      1     1931     2016
   50 L.N. GARCEZ    50    51   12   0.00   EX      0     1931     2016
   51 CANOAS II      51    52   12   0.00   EX      0     1931     2016
