 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1  SUDESTE        CONS.ITAIPU
2018                                                               18.     18.     18.     18.     18. 
2019       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
2020       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
2021       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
2022       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
POS        18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
   1  SUDESTE               ANDE
2018                                                             1451.   1517.   1515.   1648.   2002. 
2019     1808.   1756.   1749.   1439.   1304.   1351.   1405.   1507.   1612.   1591.   1731.   2102. 
2020     1898.   1780.   1836.   1511.   1369.   1419.   1475.   1583.   1693.   1671.   1817.   2207. 
2021     1993.   1936.   1928.   1587.   1438.   1489.   1549.   1662.   1778.   1754.   1908.   2317. 
2022     2093.   2033.   2025.   1666.   1510.   1564.   1626.   1745.   1866.   1842.   2003.   2433. 
POS      2093.   2033.   2025.   1666.   1510.   1564.   1626.   1745.   1866.   1842.   2003.   2433. 
   1  SUDESTE       AJUSTE CARGA
2018                                                             -180.   -180.   -180.   -180.   -180.
2019     -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.
2020     -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.
2021     -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.
2022     -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.
POS      -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.   -180.
   2  SUL           AJUSTE CARGA
2018                                                             -125.   -125.   -125.   -125.   -125. 
2019     -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125. 
2020     -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125. 
2021     -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125. 
2022     -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125. 
POS      -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125.   -125. 
   3  NORDESTE      AJUSTE CARGA
2018                                                             -223.   -223.   -223.   -223.   -223. 
2019     -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223. 
2020     -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223. 
2021     -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223. 
2022     -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223. 
POS      -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223.   -223. 
 999
