COD  NOME        ENCHIMENTO  VOLUME MORTO    DATA    POT.   MQ CJ
                  INICIO    DUR.MESES  %    ENTRADA
XXXX XXXXXXXXXXXX XX/XXXX      XX     XX.X  XX/XXXX XXXX.X
  83 BAIXO IGUACU  1/2019       3      0.0
                                             4/2019  116.7   1  1 
                                             5/2019  116.7   2  1 
                                             6/2019  116.7   3  1 
9999
  54 STA BRANCA T 10/2020       3      0.0
                                             6/2022   31.0   1  1 
                                             6/2022   31.0   2  1 
9999
 318 FICT.STA BRA 10/2020       3      0.0
9999
 288 BELO MONTE                             12/2018  611.1  10  1 
                                             2/2019  611.1  11  1 
                                             5/2019  611.1  12  1 
                                             1/2020  611.1  13  1 
                                             1/2020  611.1  14  1 
                                             1/2020  611.1  15  1 
                                             1/2020  611.1  16  1 
                                             1/2020  611.1  17  1 
                                             1/2020  611.1  18  1 
9999
 228 COLIDER                                11/2018  100.0   1  1 
                                             3/2019  100.0   2  1 
                                             5/2019  100.0   3  1 
9999
 227 SINOP         9/2018       3      0.0
                                             2/2019  200.9   1  1 
                                             2/2019  200.9   2  1 
9999
