NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  13 POTEF  1350.00  8 2018          ANGRA 2                                                                                                                                                            
  13 GTMIN  1080.00  8 2018  3 2019                                                                                                                                                                     
  13 GTMIN   529.68  4 2019  4 2019                                                                                                                                                                     
  13 GTMIN   811.60  5 2019  5 2019                                                                                                                                                                     
  13 GTMIN  1080.00  6 2019                                                                                                                                                                             
  13 IPTER     0.00  1 2019  3 2019                                                                                                                                                                     
  13 IPTER    60.00  4 2019  4 2019                                                                                                                                                                     
  13 IPTER    38.71  5 2019  5 2019                                                                                                                                                                     
  13 IPTER     0.00  6 2019 12 2019                                                                                                                                                                     
   7 POTEF    36.00  8 2018          CARIOBA                                                                                                                                                            
   7 FCMAX     0.00  8 2018                                                                                                                                                                             
  97 POTEF   216.00  1 2020          CCBS                                                                                                                                                               
  97 GTMIN  0086.40  1 2020                                                                                                                                                                             
 219 POTEF   157.17  8 2018 12 2019  CCBS_L1                                                                                                                                                            
 219 FCMAX    47.18  8 2018  8 2018                                                                                                                                                                     
 219 GTMIN  0062.87  8 2018  8 2018                                                                                                                                                                     
 219 FCMAX    37.48  9 2018  9 2018                                                                                                                                                                     
 219 GTMIN    58.90  9 2018  9 2018                                                                                                                                                                     
 219 FCMAX   100.00 10 2018 12 2019                                                                                                                                                                     
 219 GTMIN  0062.87 10 2018 12 2019                                                                                                                                                                     
 220 POTEF    58.83  8 2018 12 2019  CCBS_L13                                                                                                                                                           
 220 FCMAX     0.00  8 2018  9 2018                                                                                                                                                                     
 220 FCMAX   100.00 10 2018 12 2019                                                                                                                                                                     
 220 GTMIN  0023.53 10 2018 12 2019                                                                                                                                                                     
  12 POTEF   529.20  8 2018          CUIABA G CC                                                                                                                                                        
  12 FCMAX     0.00  8 2018                                                                                                                                                                             
 153 POTEF    44.44  8 2018          DAIA                                                                                                                                                               
 153 FCMAX    84.99  8 2018                                                                                                                                                                             
  65 POTEF   254.80  8 2018          DO ATLAN_CSA                                                                                                                                                       
  65 GTMIN   234.39  8 2018  9 2018                                                                                                                                                                     
  65 GTMIN   219.28 10 2018 10 2018                                                                                                                                                                     
  65 GTMIN   143.66 12 2018 12 2018                                                                                                                                                                     
  65 GTMIN   166.35  1 2019  1 2019                                                                                                                                                                     
  65 IPTER    29.03  1 2019  1 2019                                                                                                                                                                     
  65 GTMIN   200.90  2 2019  2 2019                                                                                                                                                                     
  65 IPTER    14.29  2 2019  2 2019                                                                                                                                                                     
  65 GTMIN   234.39  3 2019  3 2019                                                                                                                                                                     
  65 IPTER     0.00  3 2019  3 2019                                                                                                                                                                     
  65 GTMIN   148.44  4 2019  4 2019                                                                                                                                                                     
  65 IPTER    36.67  4 2019  4 2019                                                                                                                                                                     
  65 GTMIN   219.28  5 2019  5 2019                                                                                                                                                                     
  65 IPTER     6.45  5 2019  5 2019                                                                                                                                                                     
  65 GTMIN   234.39  6 2019  9 2019                                                                                                                                                                     
  65 IPTER     0.00  6 2019  9 2019                                                                                                                                                                     
  65 GTMIN   219.28 10 2019 10 2019                                                                                                                                                                     
  65 IPTER     6.45 10 2019 10 2019                                                                                                                                                                     
  65 GTMIN   234.39 11 2019  1 2020                                                                                                                                                                     
  65 IPTER     0.00 11 2019  1 2020                                                                                                                                                                     
  65 GTMIN   218.22  2 2020  2 2020                                                                                                                                                                     
  65 IPTER     6.90  2 2020  2 2020                                                                                                                                                                     
  65 GTMIN   234.39  3 2020  3 2020                                                                                                                                                                     
  65 IPTER     0.00  3 2020  3 2020                                                                                                                                                                     
  65 GTMIN   218.76  4 2020  4 2020                                                                                                                                                                     
  65 IPTER     6.67  4 2020  4 2020                                                                                                                                                                     
  65 GTMIN   234.39  5 2020  7 2020                                                                                                                                                                     
  65 IPTER     0.00  5 2020  7 2020                                                                                                                                                                     
  65 GTMIN   219.28  8 2020  8 2020                                                                                                                                                                     
  65 IPTER     6.45  8 2020  8 2020                                                                                                                                                                     
  65 GTMIN   234.39  9 2020 10 2020                                                                                                                                                                     
  65 IPTER     0.00  9 2020 10 2020                                                                                                                                                                     
  65 GTMIN   218.76 11 2020 11 2020                                                                                                                                                                     
  65 IPTER     6.67 11 2020 11 2020                                                                                                                                                                     
  65 GTMIN   234.39 12 2020  2 2021                                                                                                                                                                     
  65 IPTER     0.00 12 2020  2 2021                                                                                                                                                                     
  65 GTMIN   151.23  3 2021  3 2021                                                                                                                                                                     
  65 IPTER    35.48  3 2021  3 2021                                                                                                                                                                     
  65 GTMIN   218.76  4 2021  4 2021                                                                                                                                                                     
  65 IPTER     6.67  4 2021  4 2021                                                                                                                                                                     
  65 GTMIN   158.78  5 2021  5 2021                                                                                                                                                                     
  65 IPTER    32.26  5 2021  5 2021                                                                                                                                                                     
  65 GTMIN   218.76  6 2021  6 2021                                                                                                                                                                     
  65 IPTER     6.67  6 2021  6 2021                                                                                                                                                                     
  65 GTMIN   234.39  7 2021  9 2021                                                                                                                                                                     
  65 IPTER     0.00  7 2021  9 2021                                                                                                                                                                     
  65 GTMIN   219.28 10 2021 10 2021                                                                                                                                                                     
  65 IPTER     6.45 10 2021 10 2021                                                                                                                                                                     
  65 GTMIN   234.39 11 2021 11 2021                                                                                                                                                                     
  65 IPTER     0.00 11 2021 11 2021                                                                                                                                                                     
  65 GTMIN   219.28 12 2021 12 2021                                                                                                                                                                     
  65 IPTER     6.45 12 2021 12 2021                                                                                                                                                                     
  65 GTMIN    30.23  1 2022  1 2022                                                                                                                                                                     
  65 IPTER    87.10  1 2022  1 2022                                                                                                                                                                     
  65 GTMIN   192.53  2 2022  2 2022                                                                                                                                                                     
  65 IPTER    17.86  2 2022  2 2022                                                                                                                                                                     
  65 GTMIN   219.28  3 2022  3 2022                                                                                                                                                                     
  65 IPTER     6.45  3 2022  3 2022                                                                                                                                                                     
  65 GTMIN   234.39  4 2022                                                                                                                                                                             
  65 IPTER     0.00  4 2022                                                                                                                                                                             
 183 POTEF   235.20  8 2018          DO ATLANTICO                                                                                                                                                       
 183 IPTER     4.30  8 2018                                                                                                                                                                             
 183 GTMIN  0201.50  8 2018                                                                                                                                                                             
 213 POTEF   320.65  8 2018 12 2019  EBOLT_L1                                                                                                                                                           
 213 GTMIN  0000.00  8 2018  8 2018                                                                                                                                                                     
 213 GTMIN  0000.00  9 2018  9 2018                                                                                                                                                                     
 213 GTMIN  0000.00 10 2018 10 2018                                                                                                                                                                     
 213 GTMIN  0000.00 11 2018 11 2018                                                                                                                                                                     
 213 GTMIN  0000.00 12 2018 12 2018                                                                                                                                                                     
 213 GTMIN  0000.00  1 2019  1 2019                                                                                                                                                                     
 213 GTMIN  0000.00  2 2019  2 2019                                                                                                                                                                     
 213 GTMIN  0000.00  3 2019  3 2019                                                                                                                                                                     
 213 GTMIN  0000.00  4 2019  4 2019                                                                                                                                                                     
 214 POTEF    65.25  8 2018 12 2019  EBOLT_L13                                                                                                                                                          
 214 GTMIN  0000.00  8 2018  8 2018                                                                                                                                                                     
 214 GTMIN  0000.00  9 2018  9 2018                                                                                                                                                                     
 214 GTMIN  0000.00 10 2018 10 2018                                                                                                                                                                     
 214 GTMIN  0000.00 11 2018 11 2018                                                                                                                                                                     
 214 GTMIN  0000.00 12 2018 12 2018                                                                                                                                                                     
 214 GTMIN  0000.00  1 2019  1 2019                                                                                                                                                                     
 214 GTMIN  0000.00  2 2019  2 2019                                                                                                                                                                     
 214 GTMIN  0000.00  3 2019  3 2019                                                                                                                                                                     
 214 GTMIN  0000.00  4 2019  4 2019                                                                                                                                                                     
  62 POTEF   385.90  1 2020          ELETROBOLT                                                                                                                                                         
 110 POTEF   572.10  8 2018          F.GASPARIAN                                                                                                                                                        
 110 FCMAX    65.51 10 2018                                                                                                                                                                             
  63 POTEF   226.00  8 2018          IBIRITERMO                                                                                                                                                         
  63 FCMAX     2.59  8 2018  8 2018                                                                                                                                                                     
  63 FCMAX     6.24  9 2018  9 2018                                                                                                                                                                     
  63 FCMAX   100.00 10 2018                                                                                                                                                                             
  54 POTEF    87.05  8 2018          JUIZ DE FORA                                                                                                                                                       
  15 POTEF   204.00  8 2018          LINHARES                                                                                                                                                           
  15 GTMIN  0000.00  8 2018  8 2018                                                                                                                                                                     
  15 FCMAX    90.00  9 2018 10 2018                                                                                                                                                                     
  15 GTMIN  0000.00 10 2018  3 2019                                                                                                                                                                     
  15 FCMAX   100.00 11 2018                                                                                                                                                                             
  15 GTMIN  0000.00  4 2019  4 2019                                                                                                                                                                     
  15 GTMIN  0000.00  5 2019  8 2019                                                                                                                                                                     
  15 IPTER     8.06  1 2019  1 2019                                                                                                                                                                     
  15 GTMIN  0000.00  9 2019  3 2020                                                                                                                                                                     
  15 IPTER     8.93  2 2019  2 2019                                                                                                                                                                     
  15 GTMIN  0000.00  4 2020  4 2020                                                                                                                                                                     
  15 IPTER     8.06  3 2019  3 2019                                                                                                                                                                     
  15 GTMIN  0000.00  5 2020  7 2020                                                                                                                                                                     
