********* DUMMY
********* DUMMY
 MESPLAN=            8  ANOPLAN=         2018
    1 CAMARGOS        128.00     98.00    110.00     60.00     44.00     39.00     32.00     36.00     30.00     41.00     58.00     74.00
    2 ITUTINGA        128.00     98.00    110.00     60.00     44.00     39.00     32.00     36.00     30.00     41.00     58.00     74.00
    6 FURNAS          925.00    640.00    800.00    356.00    247.00    239.00    174.00    175.00    131.00    210.00    365.00    534.00
    7 M. DE MORAE    1139.00    772.00    942.00    443.00    304.00    285.00    208.00    197.00    150.00    234.00    439.00    677.00
    8 ESTREITO       1188.00    802.00    975.00    464.00    317.00    296.00    216.00    202.00    155.00    239.00    454.00    711.00
    9 JAGUARA        1208.00    814.00    990.00    473.00    322.00    301.00    220.00    205.00    157.00    241.00    458.00    726.00
   10 IGARAPAVA      1265.00    850.00   1030.00    499.00    338.00    314.00    230.00    211.00    162.00    247.00    473.00    768.00
   11 VOLTA GRAND    1393.00    931.00   1114.00    552.00    373.00    342.00    251.00    224.00    174.00    262.00    512.00    862.00
   12 P. COLOMBIA    1631.00   1108.00   1315.00    688.00    467.00    416.00    305.00    263.00    202.00    294.00    575.00   1007.00
   14 CACONDE          57.00     44.00     59.00     32.00     21.00     19.00     15.00     23.00     17.00     17.00     31.00     28.00
   15 E. DA CUNHA      93.00     71.00     98.00     52.00     34.00     31.00     25.00     37.00     27.00     28.00     50.00     45.00
   16 A.S.OLIVEIR      95.00     71.00    100.00     53.00     34.00     32.00     25.00     37.00     28.00     28.00     51.00     46.00
   17 MARIMBONDO     2401.00   1682.00   1871.00   1027.00    732.00    674.00    524.00    506.00    377.00    456.00    938.00   1398.00
   18 A. VERMELHA    3025.00   2081.00   2205.00   1277.00    913.00    836.00    662.00    655.00    473.00    573.00   1106.00   1805.00
   20 BOCAINA         120.00    154.00    197.00    112.00     65.00     51.00     38.00     22.00     17.00     18.00     67.00    187.00
   22 BATALHA          94.00    133.00    138.00     88.00     46.00     38.00     26.00     14.00     11.00      9.00     43.00    140.00
   23 CORUMBA III     129.00    162.00    178.00    156.00     83.00     60.00     44.00     31.00     23.00     19.00     46.00    170.00
   24 EMBORCACAO      339.00    438.00    559.00    317.00    183.00    146.00    109.00     61.00     47.00     50.00    190.00    531.00
   25 NOVA PONTE      297.00    278.00    234.00    175.00    126.00    104.00     86.00     66.00     50.00     76.00    146.00    340.00
   28 CAPIM BRANC     321.00    295.00    265.00    191.00    136.00    112.00     91.00     71.00     53.00     76.00    158.00    363.00
   31 ITUMBIARA      1458.00   1583.00   1701.00   1192.00    714.00    558.00    416.00    258.00    189.00    250.00    746.00   1759.00
   32 CACH.DOURAD    1594.00   1693.00   1844.00   1301.00    769.00    601.00    452.00    285.00    205.00    263.00    784.00   1867.00
   33 SAO SIMAO      2913.00   2876.00   3125.00   2350.00   1445.00   1170.00    911.00    541.00    366.00    409.00   1214.00   2925.00
   34 I.SOLTEIRA     7533.00   6136.00   6504.00   4543.00   2929.00   2502.00   1963.00   1685.00   1231.00   1374.00   3116.00   5976.00
   37 BARRA BONIT     635.00    365.00    426.00    270.00    153.00    152.00    116.00    252.00    151.00    225.00    396.00    303.00
   38 A.S.LIMA        713.00    419.00    482.00    325.00    188.00    188.00    145.00    295.00    185.00    257.00    448.00    338.00
   39 IBITINGA        865.00    520.00    586.00    423.00    256.00    257.00    203.00    378.00    252.00    321.00    548.00    414.00
   40 PROMISSAO      1116.00    667.00    698.00    495.00    316.00    322.00    258.00    477.00    310.00    382.00    719.00    520.00
   42 NAVANHANDAV    1217.00    725.00    743.00    524.00    339.00    347.00    278.00    516.00    334.00    403.00    786.00    561.00
   43 T.IRMAOS       1287.00    791.00    772.00    567.00    351.00    359.00    291.00    528.00    355.00    391.00    805.00    605.00
